"Receipt","Reçu",""
"Receipts","Reçus",""
"Refund","Remboursement",""
"Refunds","Remboursements",""
"Return","Retour",""
"Returns","Retours",""
"Exchange","Échange",""
"Exchanges","Échanges",""
"Sale","Vente",""
"Sales","Ventes",""
"Purchase","Achat",""
"Purchases","Achats",""
"Report","Rapport",""
"Reports","Rapports",""
"Dashboard","Tableau de bord",""
"Home","Accueil",""
"Profile","Profil",""
"Account","Compte",""
"Logout","Déconnexion",""
"Login","Connexion",""
"Sign In","Se connecter",""
"Sign Up","S'inscrire",""
"Register","S'enregistrer",""
"Password","Mot de passe",""
"Username","Nom d'utilisateur",""
"Remember Me","Se souvenir de moi",""
"Forgot Password?","Mot de passe oublié ?",""
"Reset Password","Réinitialiser le mot de passe",""
"Change Password","Changer le mot de passe",""
"Old Password","Ancien mot de passe",""
"New Password","Nouveau mot de passe",""
"Confirm Password","Confirmer le mot de passe",""
"Today","Aujourd'hui",""
"Yesterday","Hier",""
"This Week","Cette semaine",""
"Last Week","La semaine dernière",""
"This Month","Ce mois-ci",""
"Last Month","Le mois dernier",""
"This Year","Cette année",""
"Last Year","L'année dernière",""
"Custom Range","Plage personnalisée",""
"From","De",""
"To","À",""
"Start Date","Date de début",""
"End Date","Date de fin",""
"Time","Heure",""
"Hour","Heure",""
"Hours","Heures",""
"Minute","Minute",""
"Minutes","Minutes",""
"Second","Seconde",""
"Seconds","Secondes",""
"Day","Jour",""
"Days","Jours",""
"Week","Semaine",""
"Weeks","Semaines",""
"Month","Mois",""
"Months","Mois",""
"Year","Année",""
"Years","Années",""
"Are you sure?","Êtes-vous sûr ?",""
"This action cannot be undone","Cette action ne peut pas être annulée",""
"Confirm Delete","Confirmer la suppression",""
"Confirm Action","Confirmer l'action",""
"Processing...","Traitement en cours...",""
"Please wait...","Veuillez patienter...",""
"Saving...","Enregistrement...",""
"Loading data...","Chargement des données...",""
"No data available","Aucune donnée disponible",""
"No results found","Aucun résultat trouvé",""
"Search results","Résultats de recherche",""
"Showing {0} to {1} of {2} entries","Affichage de {0} à {1} sur {2} entrées",""
"Page","Page",""
"Previous","Précédent",""
"Next","Suivant",""
"First","Premier",""
"Last","Dernier",""
"per page","par page",""
"View","Voir",""
"View Shift","Voir l'équipe",""
"View Details","Voir les détails",""
"Edit Details","Modifier les détails",""
"Copy","Copier",""
"Duplicate","Dupliquer",""
"Archive","Archiver",""
"Restore","Restaurer",""
"Move","Déplacer",""
"Rename","Renommer",""
"Share","Partager",""
"Download PDF","Télécharger PDF",""
"Send Email","Envoyer par e-mail",""
"Print Invoice","Imprimer la facture",""
"Email Invoice","Envoyer la facture par e-mail",""
"Mark as Paid","Marquer comme payé",""
"Mark as Unpaid","Marquer comme impayé",""
"Payment Received","Paiement reçu",""
"Payment Pending","Paiement en attente",""
"Payment Failed","Échec du paiement",""
"Completed","Terminé",""
"Pending","En attente",""
"Processing","En cours",""
"Cancelled","Annulé",""
"Refunded","Remboursé",""
"Draft","Brouillon",""
"Submitted","Soumis",""
"Approved","Approuvé",""
"Rejected","Rejeté",""
"Active","Actif",""
"Inactive","Inactif",""
"Enabled","Activé",""
"Disabled","Désactivé",""
"Online","En ligne",""
"Offline","Hors ligne",""
"Connected","Connecté",""
"Disconnected","Déconnecté",""
"Synced","Synchronisé",""
"Not Synced","Non synchronisé",""
"Syncing...","Synchronisation...",""
"Last Sync","Dernière synchronisation",""
"Sync Now","Synchroniser maintenant",""
"Auto Sync","Synchronisation automatique",""
"Manual Sync","Synchronisation manuelle",""
"Clear Cache","Vider le cache",""
"Reset Settings","Réinitialiser les paramètres",""
"Restore Defaults","Restaurer les valeurs par défaut",""
"About","À propos",""
"Help","Aide",""
"Support","Support",""
"Documentation","Documentation",""
"Version","Version",""
"License","Licence",""
"Privacy Policy","Politique de confidentialité",""
"Terms of Service","Conditions d'utilisation",""
"Contact Us","Nous contacter",""
"Feedback","Commentaires",""
"Rate Us","Évaluez-nous",""
"More","Plus",""
"Less","Moins",""
"Show More","Afficher plus",""
"Show Less","Afficher moins",""
"Expand","Développer",""
"Collapse","Réduire",""
"Full Screen","Plein écran",""
"Exit Full Screen","Quitter le plein écran",""
"Shift Open:","Équipe ouverte :",""
"Offline ({0} pending)","Hors ligne ({0} en attente)",""
"Online - Click to sync","En ligne - Cliquez pour synchroniser",""
"Offline mode active","Mode hors ligne activé",""
"Online mode active","Mode en ligne activé",""
"Cache","Cache",""
"Items:","Articles :",""
"Last Sync:","Dernière synchro :",""
"Status:","Statut :",""
"Auto-Sync:","Synchro auto :",""
"Refreshing...","Actualisation...",""
"Refresh Items","Actualiser les articles",""
"Refreshing items...","Actualisation des articles...",""
"Refresh items list","Actualiser la liste des articles",""
"Empty","Vide",""
"Syncing","Synchronisation",""
"Ready","Prêt",""
"Never","Jamais",""
"Cache empty","Cache vide",""
"Cache syncing","Synchronisation du cache",""
"Cache ready","Cache prêt",""
"Access your point of sale system","Accédez à votre système de point de vente",""
"Your cart is empty","Votre panier est vide",""
"Cart Items","Articles du panier",""
"Clear","Effacer",""
"Last 7 Days","7 derniers jours",""
"Last 30 Days","30 derniers jours",""
"All Status","Tous les statuts",""
"Partly Paid","Partiellement payé",""
"Overdue","En retard",""
"Negative Stock","Stock négatif",""
"Cart","Panier",""
"Welcome to POS Next","Bienvenue sur POS Next",""
"Please open a shift to start making sales","Veuillez ouvrir une équipe pour commencer les ventes",""
"Clear Cart?","Vider le panier ?",""
"Remove all {0} items from cart?","Supprimer tous les {0} articles du panier ?",""
"Clear All","Tout effacer",""
"Sign Out Confirmation","Confirmation de déconnexion",""
"Your Shift is Still Open!","Votre équipe est toujours ouverte !",""
"Close your shift first to save all transactions properly","Fermez d'abord votre équipe pour enregistrer correctement toutes les transactions",""
"Close Shift & Sign Out","Fermer l'équipe et se déconnecter",""
"Skip & Sign Out","Ignorer et se déconnecter",""
"Sign Out?","Se déconnecter ?",""
"You will be logged out of POS Next","Vous serez déconnecté de POS Next",""
"Sign Out","Se déconnecter",""
"Signing Out...","Déconnexion...",""
"Invoice Created Successfully","Facture créée avec succès",""
"Invoice {0} created successfully!","Facture {0} créée avec succès !",""
"Total: {0}","Total : {0}",""
"An unexpected error occurred.","Une erreur inattendue s'est produite.",""
"Delete Invoice","Supprimer la facture",""
"Try Again","Réessayer",""
"Tax mode updated. Cart recalculated with new tax settings.","Mode taxe mis à jour. Panier recalculé avec les nouveaux paramètres de taxe.",""
"Discount settings changed. Cart recalculated.","Paramètres de remise modifiés. Panier recalculé.",""
"Prices are now tax-inclusive. This will apply to new items added to cart.","Les prix incluent désormais les taxes. Cela s'appliquera aux nouveaux articles ajoutés au panier.",""
"Prices are now tax-exclusive. This will apply to new items added to cart.","Les prix excluent désormais les taxes. Cela s'appliquera aux nouveaux articles ajoutés au panier.",""
"Negative stock sales are now allowed","Les ventes avec stock négatif sont maintenant autorisées",""
"Negative stock sales are now restricted","Les ventes avec stock négatif sont maintenant restreintes",""
"Credit Sale","Vente à crédit",""
"Write Off Change","Annuler la monnaie",""
"Partial Payment","Paiement partiel",""
"Silent Print","Impression silencieuse",""
"{0} settings applied immediately","Paramètres {0} appliqués immédiatement",""
"You can now start making sales","Vous pouvez maintenant commencer à vendre",""
"Shift closed successfully","Équipe fermée avec succès",""
"Insufficient Stock","Stock insuffisant",""
"Item: {0}","Article : {0}",""
"\"{0}\" cannot be added to cart. Bundle is out of stock. Allow Negative Stock is disabled.","\"{0}\" ne peut pas être ajouté au panier. Le lot est en rupture de stock. L'autorisation de stock négatif est désactivée.",""
"\"{0}\" cannot be added to cart. Item is out of stock. Allow Negative Stock is disabled.","\"{0}\" ne peut pas être ajouté au panier. L'article est en rupture de stock. L'autorisation de stock négatif est désactivée.",""
"{0} selected","{0} sélectionné",""
"Please add items to cart before proceeding to payment","Veuillez ajouter des articles au panier avant de procéder au paiement",""
"Please select a customer before proceeding","Veuillez sélectionner un client avant de continuer",""
"Invoice saved offline. Will sync when online","Facture enregistrée hors ligne. Se synchronisera en ligne",""
"Unknown","Inconnu",""
"Invoice {0} created and sent to printer","Facture {0} créée et envoyée à l'imprimante",""
"Invoice {0} created but print failed","Facture {0} créée mais l'impression a échoué",""
"Invoice {0} created successfully","Facture {0} créée avec succès",""
"All items removed from cart","Tous les articles retirés du panier",""
"{0} added to cart","{0} ajouté au panier",""
"{0} ({1}) added to cart","{0} ({1}) ajouté au panier",""
"Failed to process selection. Please try again.","Échec du traitement de la sélection. Veuillez réessayer.",""
"Return invoice {0} created successfully","Facture de retour {0} créée avec succès",""
"Creating return for invoice {0}","Création d'un retour pour la facture {0}",""
"{0} created and selected","{0} créé et sélectionné",""
"All cached data has been cleared successfully","Toutes les données en cache ont été effacées avec succès",""
"Failed to clear cache. Please try again.","Échec de la suppression du cache. Veuillez réessayer.",""
"Your point of sale system is ready to use.","Votre système de point de vente est prêt à l'emploi.",""
"Shift Status","Statut de l'équipe",""
"Shift is Open","L'équipe est ouverte",""
"<strong>POS Profile:<strong> {0}","<strong>Profil PDV :<strong> {0}",""
"<strong>Company:<strong>","<strong>Société :<strong>",""
"<strong>Opened:<strong>","<strong>Ouvert :<strong>",""
"Start Sale","Commencer la vente",""
"No Active Shift","Aucune équipe active",""
"You need to open a shift before you can start making sales.","Vous devez ouvrir une équipe avant de pouvoir commencer à vendre.",""
"System Test","Test système",""
"Test Connection","Tester la connexion",""
"✓ Connection successful: {0}","✓ Connexion réussie : {0}",""
"✗ Connection failed: {0}","✗ Échec de la connexion : {0}",""
"Confirm Sign Out","Confirmer la déconnexion",""
"Active Shift Detected","Équipe active détectée",""
"You have an active shift open. Would you like to:","Vous avez une équipe active ouverte. Souhaitez-vous :",""
"Are you sure you want to sign out of POS Next?","Êtes-vous sûr de vouloir vous déconnecter de POS Next ?",""
"Sign Out Only","Se déconnecter uniquement",""
"TAX INVOICE","FACTURE TVA",""
"Invoice #:","Facture n° :",""
"Date:","Date :",""
"Customer:","Client :",""
"Status:","Statut :",""
"PARTIAL PAYMENT","PAIEMENT PARTIEL",""
"(FREE)","(GRATUIT)",""
"Subtotal:","Sous-total :",""
"Tax:","Taxe :",""
"TOTAL:","TOTAL :",""
"Total Paid:","Total payé :",""
"Change:","Monnaie :",""
"BALANCE DUE:","SOLDE DÛ :",""
"Thank you for your business!","Merci pour votre confiance !",""
"Invoice - {0}","Facture - {0}",""
"Offline invoice deleted successfully","Facture hors ligne supprimée avec succès",""
"Failed to delete offline invoice","Échec de la suppression de la facture hors ligne",""
"Cannot sync while offline","Impossible de synchroniser hors ligne",""
"{0} invoice(s) synced successfully","{0} facture(s) synchronisée(s) avec succès",""
"Loading customers for offline use...","Chargement des clients pour utilisation hors ligne...",""
"Data is ready for offline use","Les données sont prêtes pour une utilisation hors ligne",""
"Some data may not be available offline","Certaines données peuvent ne pas être disponibles hors ligne",""
"POS is offline without cached data. Please connect to sync.","PDV hors ligne sans données en cache. Veuillez vous connecter pour synchroniser.",""
"{0} applied successfully","{0} appliqué avec succès",""
"Discount has been removed from cart","La remise a été retirée du panier",""
"Add items to the cart before applying an offer.","Ajoutez des articles au panier avant d'appliquer une offre.",""
"Your cart doesn't meet the requirements for this offer.","Votre panier ne répond pas aux exigences de cette offre.",""
"Failed to apply offer. Please try again.","Échec de l'application de l'offre. Veuillez réessayer.",""
"Offer has been removed from cart","L'offre a été retirée du panier",""
"Failed to update cart after removing offer.","Échec de la mise à jour du panier après suppression de l'offre.",""
"Unit changed to {0}","Unité changée en {0}",""
"Failed to update UOM. Please try again.","Échec de la mise à jour de l'unité. Veuillez réessayer.",""
"{0} updated successfully","{0} mis à jour avec succès",""
"Failed to update item. Please try again.","Échec de la mise à jour de l'article. Veuillez réessayer.",""
"{0}h {1}m {2}s","{0}h {1}m {2}s",""
"Sync Complete","Synchronisation terminée",""
"Search by phone: {0}","Rechercher par téléphone : {0}",""
"Search by email: {0}","Rechercher par e-mail : {0}",""
"Create new customer: {0}","Créer un nouveau client : {0}",""
"From {0}","De {0}",""
"Until {0}","Jusqu'à {0}",""
"Validation Error","Erreur de validation",""
"Permission Denied","Permission refusée",""
"Not Found","Non trouvé",""
"Server Error","Erreur serveur",""
"Not enough stock available in the warehouse.\n\nPlease reduce the quantity or check stock availability.","Stock insuffisant dans l'entrepôt.\n\nVeuillez réduire la quantité ou vérifier la disponibilité.",""
"Pricing Error","Erreur de tarification",""
"Customer Error","Erreur client",""
"Tax Configuration Error","Erreur de configuration de la taxe",""
"Payment Error","Erreur de paiement",""
"Naming Series Error","Erreur de série de nommage",""
"Connection Error","Erreur de connexion",""
"Unable to connect to server. Check your internet connection.","Impossible de se connecter au serveur. Vérifiez votre connexion Internet.",""
"Duplicate Entry","Entrée en double",""
"Error Report - POS Next","Rapport d'erreur - POS Next",""
"Title: {0}","Titre : {0}",""
"Type: {0}","Type : {0}",""
"Message: {0}","Message : {0}",""
"Technical: {0}","Technique : {0}",""
"Timestamp: {0}","Horodatage : {0}",""
"User: {0}","Utilisateur : {0}",""
"POS Profile: {0}","Profil PDV : {0}",""
"Partial Payments","Paiements partiels",""
"Manage invoices with pending payments","Gérer les factures avec paiements en attente",""
"{0} invoice - {1} outstanding","{0} facture - {1} en souffrance",""
"{0} invoices - {1} outstanding","{0} factures - {1} en souffrance",""
"Loading invoices...","Chargement des factures...",""
"No Partial Payments","Aucun paiement partiel",""
"All invoices are either fully paid or unpaid","Toutes les factures sont soit entièrement payées, soit impayées",""
"Add Payment","Ajouter un paiement",""
"Payment History","Historique des paiements",""
"Failed to load partial payments","Échec du chargement des paiements partiels",""
"Payment added successfully","Paiement ajouté avec succès",""
"Failed to add payment","Échec de l'ajout du paiement",""
"Open POS Shift","Ouvrir l'équipe PDV",""
"Select POS Profile","Sélectionner le profil PDV",""
"No POS Profiles available. Please contact your administrator.","Aucun profil PDV disponible. Veuillez contacter votre administrateur.",""
"Change Profile","Changer de profil",""
"Opening Balance (Optional)","Solde d'ouverture (facultatif)",""
"No payment methods configured for this POS Profile","Aucune méthode de paiement configurée pour ce profil PDV",""
"Existing Shift Found","Équipe existante trouvée",""
"You have an open shift. Would you like to resume it or close it and open a new one?","Vous avez une équipe ouverte. Souhaitez-vous la reprendre ou la fermer et en ouvrir une nouvelle ?",""
"<strong>POS Profile:</strong> {0}","<strong>Profil PDV :</strong> {0}",""
"<strong>Opened:</strong> {0}","<strong>Ouvert :</strong> {0}",""
"Resume Shift","Reprendre l'équipe",""
"Close & Open New","Fermer et ouvrir une nouvelle",""
"Back","Retour",""
"At least {0} items required","Au moins {0} articles requis",""
"Maximum {0} items allowed for this offer","Maximum {0} articles autorisés pour cette offre",""
"Minimum cart value of {0} required","Valeur minimale du panier de {0} requise",""
"Maximum cart value exceeded ({0})","Valeur maximale du panier dépassée ({0})",""
"Cart does not contain eligible items for this offer","Le panier ne contient pas d'articles éligibles pour cette offre",""
"Cart does not contain items from eligible groups","Le panier ne contient pas d'articles de groupes éligibles",""
"Cannot save an empty cart as draft","Impossible d'enregistrer un panier vide comme brouillon",""
"Invoice saved as draft successfully","Facture enregistrée comme brouillon avec succès",""
"Failed to save draft","Échec de l'enregistrement du brouillon",""
"Draft invoice loaded successfully","Facture brouillon chargée avec succès",""
"Failed to load draft","Échec du chargement du brouillon",""
"Close POS Shift","Fermer l'équipe PDV",""
"Loading shift data...","Chargement des données de l'équipe...",""
"Calculating totals and reconciliation...","Calcul des totaux et rapprochement...",""
"Duration","Durée",""
"Total Sales","Ventes totales",""
"{0} invoices","{0} factures",""
"Net Amount","Montant net",""
"Before tax","Avant taxes",""
"Items Sold","Articles vendus",""
"Total items","Total des articles",""
"Tax Collected","Taxes collectées",""
"Total tax","Total des taxes",""
"No Sales During This Shift","Aucune vente pendant cette équipe",""
"No invoices were created. Closing amounts should match opening amounts.","Aucune facture n'a été créée. Les montants de fermeture doivent correspondre aux montants d'ouverture.",""
"Invoice Details","Détails de la facture",""
"{0} transactions • {1}","{0} transactions • {1}",""
"N/A","N/A",""
"Total:","Total :",""
"Payment Reconciliation","Rapprochement des paiements",""
"✓ Shift Closed","✓ Équipe fermée",""
"Total Variance","Variance totale",""
"Enter actual amount for {0}","Saisir le montant réel pour {0}",""
"Expected: <span class=\"font-medium\">{0}</span>","Attendu : <span class=\"font-medium\">{0}</span>",""
"✓ Balanced","✓ Équilibré",""
"Over {0}","Excédent {0}",""
"Short {0}","Manque {0}",""
"Opening","Ouverture",""
"Shift start","Début d'équipe",""
"Expected","Attendu",""
"No sales","Aucune vente",""
"Actual Amount *","Montant réel *",""
"Final Amount","Montant final",""
"Count & enter","Compter et saisir",""
"Cash Over","Excédent de caisse",""
"Cash Short","Manque de caisse",""
"You have more than expected.","Vous avez plus que prévu.",""
"You have less than expected.","Vous avez moins que prévu.",""
"Total Expected","Total attendu",""
"Total Actual","Total réel",""
"Net Variance","Variance nette",""
"Tax Summary","Résumé des taxes",""
"Total Tax Collected","Total des taxes collectées",""
"Error Closing Shift","Erreur lors de la fermeture de l'équipe",""
"Dismiss","Ignorer",""
"Failed to Load Shift Data","Échec du chargement des données de l'équipe",""
"Please enter all closing amounts","Veuillez saisir tous les montants de fermeture",""
"✓ Shift closed successfully","✓ Équipe fermée avec succès",""
"Closing Shift...","Fermeture de l'équipe...",""
"{0}h {1}m","{0}h {1}m",""
"{0}m","{0}m",""
"-- Select --","-- Sélectionner --",""
"Select Customer","Sélectionner le client",""
"Search and select a customer for the transaction","Rechercher et sélectionner un client pour la transaction",""
"Search customers by name, mobile, or email...","Rechercher des clients par nom, mobile ou e-mail...",""
"Search customers","Rechercher des clients",""
"⭐ Recent & Frequent","⭐ Récents et fréquents",""
"{0} of {1} customers","{0} sur {1} clients",""
"• Use ↑↓ to navigate, Enter to select","• Utilisez ↑↓ pour naviguer, Entrée pour sélectionner",""
"Loading customers...","Chargement des clients...",""
"No customers available","Aucun client disponible",""
"Create your first customer to get started","Créez votre premier client pour commencer",""
"No results for \"{0}\"","Aucun résultat pour \"{0}\"",""
"Try a different search term or create a new customer","Essayez un autre terme de recherche ou créez un nouveau client",""
"+ Create New Customer","+ Créer un nouveau client",""
"All Items","Tous les articles",""
"Syncing catalog in background... {0} items cached","Synchronisation du catalogue en arrière-plan... {0} articles en cache",""
"Search items","Rechercher des articles",""
"Barcode Scanner: ON (Click to disable)","Scanner de code-barres : ACTIVÉ (Cliquer pour désactiver)",""
"Barcode Scanner: OFF (Click to enable)","Scanner de code-barres : DÉSACTIVÉ (Cliquer pour activer)",""
"Disable barcode scanner","Désactiver le scanner de code-barres",""
"Enable barcode scanner","Activer le scanner de code-barres",""
"Auto-Add: ON - Press Enter to add items to cart","Ajout auto : ACTIVÉ - Appuyez sur Entrée pour ajouter des articles au panier",""
"Auto-Add: OFF - Click to enable automatic cart addition on Enter","Ajout auto : DÉSACTIVÉ - Cliquez pour activer l'ajout automatique au panier avec Entrée",""
"Disable auto-add","Désactiver l'ajout automatique",""
"Enable auto-add","Activer l'ajout automatique",""
"Auto","Auto",""
"Grid View","Vue grille",""
"Switch to grid view","Passer à la vue grille",""
"List View","Vue liste",""
"Switch to list view","Passer à la vue liste",""
"Sorted by {0} A-Z","Trié par {0} A-Z",""
"Sorted by {0} Z-A","Trié par {0} Z-A",""
"Sort items","Trier les articles",""
"Sort Items","Trier les articles",""
"No Sorting","Aucun tri",""
"Loading items...","Chargement des articles...",""
"No results for {0} in {1}","Aucun résultat pour {0} dans {1}",""
"No results in {0}","Aucun résultat dans {0}",""
"No results for {0}","Aucun résultat pour {0}",""
"No items available","Aucun article disponible",""
"{0}: {1} {2}","{0} : {1} {2}",""
"Nos","Pcs",""
"Check availability in other warehouses","Vérifier la disponibilité dans d'autres entrepôts",""
"Check warehouse availability","Vérifier la disponibilité en entrepôt",""
"Loading more items...","Chargement d'articles supplémentaires...",""
"All items loaded","Tous les articles chargés",""
"{0} items found","{0} articles trouvés",""
"{0} - {1} of {2}","{0} - {1} sur {2}",""
"Go to first page","Aller à la première page",""
"Go to previous page","Aller à la page précédente",""
"Go to page {0}","Aller à la page {0}",""
"Go to next page","Aller à la page suivante",""
"Go to last page","Aller à la dernière page",""
"Code","Code",""
"Rate","Tarif",""
"Qty","Qté",""
"UOM","Unité",""
"{0}: {1} Bundles","{0} : {1} lots",""
"Auto-Add ON - Type or scan barcode","Ajout auto ACTIVÉ - Tapez ou scannez le code-barres",""
"Scanner ON - Enable Auto for automatic addition","Scanner ACTIVÉ - Activez Auto pour l'ajout automatique",""
"Search by item code, name or scan barcode","Rechercher par code article, nom ou scanner le code-barres",""
"Item Not Found: No item found with barcode: {0}","Article non trouvé : Aucun article trouvé avec le code-barres : {0}",""
"Multiple Items Found: {0} items match barcode. Please refine search.","Plusieurs articles trouvés : {0} articles correspondent au code-barres. Veuillez affiner la recherche.",""
"Multiple Items Found: {0} items match. Please select one.","Plusieurs articles trouvés : {0} articles correspondent. Veuillez en sélectionner un.",""
"Loading invoice details...","Chargement des détails de la facture...",""
"Return Against:","Retour contre :",""
"Grand Total","Total général",""
"Taxes:","Taxes :",""
"Net Total:","Total net :",""
"Discount:","Remise :",""
"Grand Total:","Total général :",""
"Paid Amount:","Montant payé :",""
"Outstanding:","En souffrance :",""
"Remarks","Remarques",""
"Failed to load invoice details","Échec du chargement des détails de la facture",""
"Warehouse Availability","Disponibilité en entrepôt",""
"Close dialog","Fermer la fenêtre",""
"Checking warehouse availability...","Vérification de la disponibilité en entrepôt...",""
"Actual Stock:","Stock réel :",""
"This item is out of stock in all warehouses","Cet article est en rupture de stock dans tous les entrepôts",""
"Total Available:","Total disponible :",""
"across 1 warehouse","dans 1 entrepôt",""
"across {0} warehouses","dans {0} entrepôts",""
"Have a coupon code?","Vous avez un code de coupon ?",""
"Enter your promotional or gift card code below","Entrez votre code promotionnel ou de carte-cadeau ci-dessous",""
"ENTER-CODE-HERE","ENTREZ-CODE-ICI",""
"Code is case-insensitive","Le code est insensible à la casse",""
"My Gift Cards ({0})","Mes cartes-cadeaux ({0})",""
"Coupon Applied Successfully!","Coupon appliqué avec succès !",""
"Discount Amount","Montant de la remise",""
"Please enter a coupon code","Veuillez saisir un code de coupon",""
"The coupon code you entered is not valid","Le code de coupon que vous avez saisi n'est pas valide",""
"This coupon requires a minimum purchase of ","Ce coupon nécessite un achat minimum de ",""
"Failed to apply coupon. Please try again.","Échec de l'application du coupon. Veuillez réessayer.",""
"Discount has been removed","La remise a été supprimée",""
"Search countries...","Rechercher des pays...",""
"No countries found","Aucun pays trouvé",""
"Create New Customer","Créer un nouveau client",""
"Customer Name","Nom du client",""
"Enter customer name","Entrez le nom du client",""
"Mobile Number","Numéro de mobile",""
"Search country or code...","Rechercher un pays ou un code...",""
"Enter phone number","Entrez le numéro de téléphone",""
"Enter email address","Entrez l'adresse e-mail",""
"Customer Group","Groupe de clients",""
"Select Customer Group","Sélectionnez un groupe de clients",""
"Territory","Territoire",""
"Select Territory","Sélectionnez un territoire",""
"Permission Required","Permission requise",""
"You don't have permission to create customers. Contact your administrator.","Vous n'avez pas la permission de créer des clients. Contactez votre administrateur.",""
"Individual","Individuel",""
"All Territories","Tous les territoires",""
"Customer {0} created successfully","Client {0} créé avec succès",""
